id_player_fifa,position
220018,LS
211293,RES
49435,SUB
223268,RES
179909,LDM
193444,RES
221267,SUB
51121,SUB
139163,GK
205582,SUB
53409,SUB
203910,RM
51887,RS
201938,SUB
188146,RB
199482,GK
197082,RES
8012,SUB
211300,LM
164465,RB
201022,SUB
182212,ST
184167,SUB
183870,RES
122830,SUB
179665,SUB
151871,SUB
135859,SUB
224882,SUB
189120,SUB
19689,RES
167705,SUB
162391,RES
198554,SUB
176154,RB
156477,RES
223873,SUB
208675,SUB
183361,LCB
162147,SUB
229336,SUB
213021,SUB
169805,SUB
194765,LS
232118,SUB
170609,SUB
28057,LCB
138949,SUB
53412,LCB
213954,GK
186504,SUB
212987,SUB
123159,RDM
219561,SUB
178086,GK
138497,RCB
183450,LDM
170514,RM
173155,LCM
169426,RB
45080,RCB
149247,SUB
173221,RM
15754,SUB
7631,SUB
4739,RES
219864,LDM
101689,SUB
170720,SUB
216079,LM
120274,SUB
134610,RES
201179,RES
194916,SUB
4498,RES
34824,SUB
147651,RCB
177769,RES
146568,SUB
111105,LCM
137484,RES
112640,SUB
199157,LB
221501,RES
194216,LM
226518,LB
140293,GK
156988,CDM
146571,GK
149309,GK
205452,LCB
181816,SUB
219932,RS
210508,GK
156008,SUB
167905,RB
226278,LW
188487,LCM
220785,SUB
229590,LB
181498,SUB
150881,LCM
178424,SUB
216433,SUB
202517,RES
177565,GK
169649,SUB
200106,RES
221919,RW
192823,SUB
183933,LB
143745,SUB
4114,CM
180714,GK
187818,SUB
146955,SUB
189451,SUB
162245,RES
226239,SUB
212677,RES
106231,ST
226221,SUB
146104,LDM
49419,SUB
178140,LCB
183938,GK
9014,RM
19687,RCB
148496,GK
205175,SUB
200087,SUB
201172,SUB
203458,SUB
169464,RES
216145,RCB
216479,LW
192714,SUB
215447,RES
194108,RCM
207758,SUB
19260,SUB
138415,LM
203214,RB
5047,LB
137324,LCB
193470,RB
178233,CAM
12695,SUB
201456,SUB
51075,SUB
6251,SUB
224163,SUB
184935,SUB
5721,SUB
137510,LB
153298,RCM
230560,SUB
192118,SUB
189721,RM
189167,RCM
203793,SUB
168539,RES
122849,SUB
204252,SUB
213746,LW
188058,SUB
232550,LCB
227863,SUB
49116,SUB
212491,SUB
192038,RES
171322,RES
171189,SUB
206279,SUB
192302,RES
105846,GK
190687,SUB
192587,RCM
177790,SUB
183140,GK
192973,SUB
189447,SUB
17944,SUB
162514,CAM
135466,SUB
138297,LM
113488,RCB
149008,RES
181872,LDM
39521,RES
201017,SUB
193632,SUB
168320,85
122699,LM
157427,SUB
186905,LS
34079,LB
189280,RCM
163824,LCB
152908,SUB
205541,SUB
193123,RCB
208945,RES
45655,LCB
146941,ST
190584,CM
110974,GK
172723,SUB
207878,SUB
225970,SUB
230144,CDM
184852,SUB
193029,CF
198849,SUB
192688,SUB
134744,RDM
195256,SUB
191541,RES
184612,62
208198,SUB
176915,SUB
209471,LB
215601,SUB
163596,LW
183284,LCB
184664,SUB
175721,SUB
157306,SUB
1880,LB
216696,SUB
149315,LCB
220166,SUB
166928,LM
224661,LB
208585,SUB
177413,LCM
203632,SUB
198076,SUB
193715,RCM
212218,LCB
135656,SUB
175388,SUB
215590,SUB
223142,LCB
204132,SUB
202168,RES
15715,RCB
209264,LW
192337,ST
225368,SUB
196896,SUB
190628,SUB
163419,RB
169810,SUB
183279,RES
143419,LB
159145,ST
175847,RB
205190,SUB
137113,SUB
183766,RES
179613,SUB
187859,RDM
179918,RES
179702,SUB
163678,RES
182879,RM
157278,RCM
215785,LW
188550,SUB
165179,SUB
208834,SUB
213839,LS
172050,SUB
204240,GK
208395,SUB
171152,SUB
164873,SUB
193458,RB
222272,SUB
163979,RES
183540,LCM
148965,SUB
200443,LB
43020,SUB
187830,LM
838,RM
46014,SUB
14180,64
184634,SUB
176018,SUB
34437,SUB
5547,LM
139738,RES
226662,SUB
227633,LCM
198177,SUB
228870,SUB
184554,SUB
209378,SUB
216193,SUB
49486,RES
190690,RDM
215502,RES
148758,RES
201114,SUB
220587,RES
199763,RB
165010,ST
229730,RES
200975,SUB
216003,SUB
201081,RCB
148762,SUB
189924,RB
189558,SUB
148478,SUB
223731,ST
213423,ST
189068,SUB
217585,SUB
2162,RES
28061,RES
189390,LWB
11114,RES
189265,SUB
121944,RDM
193093,RES
170786,SUB
193518,SUB
208339,ST
2655,RCM
166074,SUB
169508,SUB
186400,SUB
163670,LB
199563,ST
163621,GK
173531,SUB
205923,LB
163155,GK
186194,SUB
216211,RES
226454,RES
170008,RES
186829,RES
189682,LCB
225191,SUB
200424,SUB
179960,SUB
169843,LCB
160292,SUB
138786,RES
177600,LCM
228931,SUB
177465,SUB
179784,RCB
150389,SUB
205451,LCB
210004,RES
189561,ST
227857,SUB
202052,RS
200429,SUB
190674,LDM
136040,SUB
204196,SUB
214097,LCM
196580,RCB
200966,SUB
122792,SUB
167508,RES
223222,LCB
144071,RES
120305,SUB
107280,SUB
228579,RB
189433,LCB
15402,RCM
193226,SUB
203445,SUB
10468,RCB
203158,GK
104101,RES
211903,RM
163640,SUB
200726,GK
197641,SUB
177800,LB
204884,LB
187038,SUB
202753,SUB
185090,ST
116346,RCM
3665,CAM
226851,RB
183828,SUB
163666,RM
198200,RDM
229793,RES
204367,GK
226759,RES
138671,SUB
198971,SUB
134957,SUB
157392,LB
41734,SUB
158121,GK
188175,SUB
150468,SUB
41874,LCM
188727,SUB
177635,RES
193550,LCM
208165,LCB
172547,SUB
212980,RES
28277,RW
5231,RES
222457,SUB
190471,ST
560,RES
154454,GK
218667,RM
148588,SUB
186521,SUB
192563,GK
177521,RDM
6186,SUB
11814,LB
148890,ST
175576,LS
116334,SUB
112251,SUB
207948,RW
224772,SUB
211578,RES
182629,SUB
193410,SUB
209769,SUB
221907,RES
138722,RB
198264,RES
212146,RM
193552,ST
140492,LAM
186765,LCB
215495,SUB
209698,LDM
122653,RCB
210831,SUB
175789,SUB
205096,SUB
158879,SUB
52474,SUB
134787,SUB
210828,RCB
170494,RES
223663,LM
170890,LCM
52042,ST
148480,SUB
183228,RCB
138699,CAM
6971,SUB
199183,RES
51261,SUB
202560,SUB
225599,GK
142579,LCB
227898,SUB
53436,SUB
216420,SUB
223337,ST
165427,RES
136875,SUB
189967,SUB
164407,RS
177149,RES
183197,SUB
176993,CAM
183429,RES
45616,SUB
215970,LWB
223869,SUB
2153,69
213359,SUB
181814,SUB
148499,SUB
231073,GK
6862,LCB
193281,RES
194996,SUB
202143,SUB
110787,LDM
194761,RCM
198790,RES
212129,RES
228635,SUB
112458,RES
110117,SUB
146612,SUB
161956,RF
193891,SUB
178604,SUB
139274,LCB
120309,GK
188123,RM
189939,ST
7280,RES
208030,RCM
188288,SUB
171899,RS
204896,SUB
189500,RES
5750,SUB
168799,SUB
204472,SUB
176690,SUB
137552,SUB
11983,SUB
164505,SUB
213555,RB
210389,SUB
152536,CDM
165735,GK
152740,RES
8205,CAM
205557,SUB
183901,SUB
109493,GK
178747,RES
193091,LCB
209371,RB
122827,SUB
229158,SUB
121591,ST
228666,RW
212204,RCB
209504,RS
178372,SUB
198515,SUB
229065,LCB
200234,SUB
162830,SUB
183037,SUB
199460,RES
166088,SUB
184035,LB
219285,RB
213303,SUB
179811,RB
201043,SUB
152027,LCB
46815,SUB
222357,SUB
190970,CAM
209852,SUB
222708,SUB
180955,LCB
2151,CAM
138336,CAM
15639,RES
173982,23
188257,LB
170114,SUB
172529,LB
51503,SUB
53443,RES
164771,SUB
201426,RES
148828,SUB
148634,RES
199286,RES
179071,SUB
196316,GK
204685,SUB
198585,RES
20537,SUB
209719,SUB
186954,ST
211368,LM
211120,SUB
159460,LAM
138110,RCB
210292,SUB
13124,SUB
203799,SUB
191023,LB
192202,LM
31486,SUB
182641,LDM
5401,SUB
203296,LB
188270,SUB
212198,CAM
198013,SUB
189425,RCM
225402,RB
210361,LCB
200228,RCB
51910,LDM
230885,RES
52983,LCM
219719,ST
199837,SUB
199550,LCB
8387,RES
211783,RES
184141,SUB
193864,SUB
140089,SUB
210031,ST
209444,LCB
219908,RES
20642,SUB
176031,SUB
210282,RM
188411,LCB
215455,SUB
145047,RB
226865,RB
186786,SUB
161214,RES
184120,LCM
15638,LM
191431,RES
202461,SUB
200818,LCB
138985,GK
192521,SUB
164852,SUB
203864,RCM
138933,SUB
208268,SUB
199170,SUB
229659,SUB
3148,RDM
199386,RS
198335,LB
216482,SUB
209892,CAM
214723,SUB
176949,SUB
229212,RCM
206040,SUB
199933,RES
193306,SUB
215644,LM
186539,LCB
139550,SUB
179982,SUB
138350,SUB
101378,SUB
20686,RCB
199931,SUB
218623,SUB
144333,LCB
164234,CAM
189196,SUB
186519,LCB
139461,SUB
226736,RES
187619,SUB
197970,SUB
201078,LB
1860,SUB
211093,SUB
190852,SUB
186370,SUB
210724,SUB
205349,SUB
196978,SUB
196940,SUB
205989,RCB
138430,RES
164765,RES
226479,SUB
184002,LB
200348,ST
223687,SUB
152699,SUB
9723,SUB
167834,GK
231535,RES
220940,SUB
165191,SUB
215419,RB
208691,SUB
191058,SUB
163016,SUB
205926,SUB
110026,CAM
189219,LCB
163158,LB
172210,RES
5461,SUB
200841,RES
139836,SUB
163858,SUB
181017,SUB
192512,SUB
210930,RM
198694,RDM
200517,SUB
13038,SUB
192683,RES
8568,RB
156227,LM
1102,SUB
199414,RES
103940,SUB
165031,RES
207664,ST
40805,SUB
172070,SUB
215056,RES
168379,RM
188413,SUB
225121,SUB
204876,LWB
146970,RCB
205503,RES
161664,SUB
192708,CAM
181392,SUB
19324,SUB
1229,LB
221014,RES
205570,SUB
233434,RES
110363,SUB
221860,RDM
105803,RCB
152830,SUB
184833,SUB
111661,GK
206604,SUB
189858,RES
177564,LWB
216749,SUB
162998,SUB
11576,SUB
172283,SUB
20798,SUB
165505,LCB
148225,SUB
224473,RES
146992,SUB
232459,RCB
52974,SUB
139229,SUB
188620,SUB
182882,RCB
223295,SUB
218175,SUB
143001,CAM
195003,RES
173832,RES
16188,CF
169416,RW
221923,SUB
187132,RCB
53424,SUB
50588,RES
213152,SUB
110389,SUB
171314,SUB
6398,RES
101658,RES
218062,LS
200145,SUB
210539,SUB
167958,GK
165769,GK
177902,ST
155931,GK
140274,RCB
193693,LDM
205887,LS
200091,SUB
208603,RES
198951,LS
4806,LF
139561,RES
169276,RES
215604,SUB
165243,RCB
116494,GK
177368,SUB
192027,SUB
112393,SUB
50907,SUB
219680,RCB
233139,SUB
116677,SUB
53815,SUB
179586,SUB
201118,RB
2135,SUB
51620,LCB
225934,LCB
197885,SUB
3337,SUB
229934,RES
186822,SUB
190799,RDM
198129,SUB
169094,RES
146558,RDM
184432,RCB
140276,RES
144054,SUB
10780,CB
20199,SUB
4001,SUB
46065,RCB
220084,LW
105866,SUB
52935,SUB
162895,SUB
180409,RDM
176209,SUB
175381,RES
222825,RM
188788,SUB
195319,RES
170349,RES
203885,RES
178243,RCM
210897,SUB
111503,SUB
200957,RES
199042,SUB
156634,SUB
162970,SUB
179768,RDM
178417,LCB
164978,SUB
188911,SUB
233884,RES
150374,RES
221536,RES
231098,SUB
216503,RES
164029,SUB
155976,SUB
195671,SUB
169638,LB
179692,SUB
219824,SUB
204760,SUB
232211,SUB
193057,RES
193263,SUB
204233,RES
203271,SUB
167885,SUB
186127,SUB
188325,ST
195698,LDM
205876,ST
170783,SUB
183395,SUB
219470,RCM
186801,LCM
145586,SUB
51917,SUB
182409,LM
183329,LB
177937,SUB
232693,RES
177106,SUB
164478,LS
202190,RES
188227,LCB
138289,SUB
184274,CB
52306,SUB
201975,RES
138243,SUB
162892,RM
213566,RM
173752,RB
183545,SUB
164768,RCB
179660,SUB
5417,RCB
137509,SUB
175212,RAM
19756,SUB
13843,SUB
203544,LB
183282,SUB
184557,SUB
184747,ST
193278,LCB
166847,SUB
135061,SUB
215379,RES
10899,LS
41223,SUB
181457,SUB
189881,SUB
155881,SUB
53469,RCB
166758,SUB
140522,RES
206505,RES
178187,RCB
1219,SUB
206221,RES
853,LCM
205601,SUB
186525,LS
184111,ST
4514,SUB
180255,RM
193098,SUB
50394,LCB
52797,RCM
190545,SUB
169403,SUB
137553,RES
190460,RM
171087,LB
139313,LB
158856,RDM
205940,RES
104476,RES
209846,LB
